ApplStandard,Brand,Cap,CEC_,Conn_Type,Country,delayStartMode,Depth,Height,Load_Type,Model No,N-Standard,New SRI,New Star,postProgenergy,powerConsMode,Prog Name,Prog Time,Sold_in,standbyPowerUsage,Submit_ID,SubmitStatus,Tot Wat Cons,Type,Water_Softener,Width,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL
AS/NZS 2007.2:2003/Amdt 1:2005 (Legacy),MIDEA,12,339,Single,China,,580.0,850.0,,WQP12-9011A,AS/NZS 2007.1:2005,2.48,2.0,,,Normal,114.0,"Australia,New Zealand",,26053,Superseded,18.6,Freestanding,False,600.0,2011-05-15,2007-03-31,,Available,,
AS/NZS 2007.2:2003/Amdt 1:2005 (Legacy),MIDEA,12,339,Single,China,,580.0,850.0,,WQP12-9011B,AS/NZS 2007.1:2005,2.48,2.0,,,Normal,114.0,"Australia,New Zealand",,26053,Superseded,18.6,Freestanding,False,600.0,2011-05-15,2007-03-31,,Available,,
AS/NZS 2007.2:2003/Amdt 1:2005 (Legacy),MIDEA,12,339,Single,China,,580.0,850.0,,WQP12-9011C,AS/NZS 2007.1:2005,2.48,2.0,,,Normal,114.0,"Australia,New Zealand",,26053,Superseded,18.6,Freestanding,False,600.0,2011-05-15,2007-03-31,,Available,,
AS/NZS 2007.2:2003/Amdt 1:2005 (Legacy),MIDEA,12,339,Single,China,,580.0,850.0,,WQP12-9011D,AS/NZS 2007.1:2005,2.48,2.0,,,Normal,114.0,"Australia,New Zealand",,26053,Superseded,18.6,Freestanding,False,600.0,2011-05-15,2007-03-31,,Available,,
AS/NZS 2007.2:2003/Amdt 1:2005 (Legacy),MIDEA,12,339,Single,China,,580.0,850.0,,WQP12-9011E,AS/NZS 2007.1:2005,2.48,2.0,,,Normal,114.0,"Australia,New Zealand",,26053,Superseded,18.6,Freestanding,False,600.0,2011-05-15,2007-03-31,,Available,,
AS/NZS 2007.2:2003/Amdt 1:2005 (Legacy),MIDEA,12,339,Single,China,,580.0,850.0,,DL06-05,AS/NZS 2007.1:2005,2.48,2.0,,,Normal,114.0,"Australia,New Zealand",,26053,Superseded,18.6,Freestanding,False,600.0,2011-05-15,2007-03-31,,Available,,
AS/NZS 2007.2:2003/Amdt 1:2005 (Legacy),MIDEA,12,339,Single,China,,580.0,850.0,,DL06-07,AS/NZS 2007.1:2005,2.48,2.0,,,Normal,114.0,"Australia,New Zealand",,26053,Superseded,18.6,Freestanding,False,600.0,2011-05-15,2007-03-31,,Available,,
AS/NZS 2007.2:2003/Amdt 1:2005 (Legacy),MIDEA,12,339,Single,China,,580.0,850.0,,WQP12-9107,AS/NZS 2007.1:2005,2.48,2.0,,,Normal,114.0,"Australia,New Zealand",,26053,Superseded,18.6,Freestanding,False,600.0,2011-05-15,2007-03-31,,Available,,
AS/NZS 2007.2:2003/Amdt 1:2005 (Legacy),OMEGA,12,339,Single,China,,580.0,850.0,,SI2112P,AS/NZS 2007.1:2005,2.486,2.0,,,Normal,114.0,"Australia,New Zealand",,27952,Superseded,18.63,Freestanding,True,600.0,2011-07-11,2007-03-31,,Available,,
AS/NZS 2007.2:2003/Amdt 1:2005 (Legacy),OMEGA,12,339,Single,China,,580.0,850.0,,DW2112WP,AS/NZS 2007.1:2005,2.486,2.0,,,Normal,114.0,"Australia,New Zealand",,27952,Superseded,18.63,Freestanding,True,600.0,2011-07-11,2007-03-31,,Available,,
AS/NZS 2007.2:2003 (Legacy),VERSO,14,448,Single,Turkey,,,,Program No 4 Eco ,TD6S-F1,AS/NZS 2007.1:2005,2.1369,2.0,,,Program No 4 Eco ,153.0,New Zealand,,15289,Approved,18.2,Freestanding,False,,,,,Available,,
AS/NZS 2007.2:2003 (Legacy),VERSO,14,448,Single,Turkey,,,,Program No 4 Eco ,TD6W-F1,AS/NZS 2007.1:2005,2.1369,2.0,,,Program No 4 Eco ,153.0,New Zealand,,15289,Approved,18.2,Freestanding,False,,,,,Available,,
AS/NZS 2007.2:2003 (Legacy),VERSO,14,448,Single,Turkey,,,,Program No 4 Eco ,TD6W-F1,AS/NZS 2007.1:2005,2.1369,2.0,,,Program No 4 Eco ,153.0,New Zealand,,15292,Approved,18.2,Freestanding,False,,,,,Available,,
AS/NZS 2007.2:2003 (Legacy),NOUVEAU,12,382,Single,China,,580.0,850.0,Normal wash,WQP12-9011,AS/NZS 2007.1:2005,2.15,2.0,,,Normal,114.0,"Australia,New Zealand",,19152,Approved,17.6,Freestanding,True,600.0,,,,Unavailable,,
AS/NZS 2007.2:2003 (Legacy),BRANDT,13,212,Single,France,,,,,AX545FXZ1,AS/NZS 2007.1:2005,4.0267,4.0,,,Normal,97.0,"Australia,New Zealand",,23329,Approved,15.1,Freestanding,True,,,,,Unavailable,,
AS/NZS 2007.2:2003 (Legacy),PARMCO,14,448,Single,Turkey,,,,Program No 4 Eco ,TD6S-F1,AS/NZS 2007.1:2005,2.1369,2.0,,,Program No 4 Eco ,153.0,New Zealand,,14243,Approved,18.2,Freestanding,False,,,,,Available,,
AS/NZS 2007.2:2003 (Legacy),PARMCO,14,448,Single,Turkey,,,,Program No 4 Eco ,TD6W-F1,AS/NZS 2007.1:2005,2.1369,2.0,,,Program No 4 Eco ,153.0,New Zealand,,14243,Approved,18.2,Freestanding,False,,,,,Available,,
AS/NZS 2007.2:2003 (Legacy),NOUVEAU,12,387,Single,China,,600.0,850.0,Normal wash ,Hd,AS/NZS 2007.1:2005,2.0,2.0,,,Normal,126.0,"Australia,New Zealand",,21343,Approved,14.6333,Freestanding,False,600.0,,,,Unavailable,,
AS/NZS 2007.2:2003 (Legacy),NOUVEAU,12,387,Single,China,,600.0,850.0,Normal wash ,HDW101,AS/NZS 2007.1:2005,2.0,2.0,,,Normal,126.0,"Australia,New Zealand",,21343,Approved,14.6333,Freestanding,False,600.0,,,,Unavailable,,
