ApplStandard,Brand,Cap,Combination,Control,Country,Depth,Height,Model Name,Model No,N-Standard,New CEC,New SRI,New Star,Prog Name,Prog Time,Sold_in,SubmitStatus,Submit_ID,Test_Moist_Remove,Tot_Wat_Cons,Type,Width,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL
AS/NZS 2442.2:2000/Amdt 2:2007,domeq,5,True,Autosensing,Italy,600.0,,,dmc8514,AS/NZS 2442.1:1996/Amdt 4:2006,193,2.95078590575,2.5,Cotton,212.3,New Zealand,Approved,67461,4.055,40.1,Condenser,600.0,2022-08-31,,,Unavailable,http://www.candy.it/,http://www.domeq.co.nz/
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,GALANZ,3.5,True,Timer,China,,,Each individual model number listed above,XQG70-DA112PE,AS/NZS 2442.1:1996,148,2.38963878842,2.0,Cottons Drying 198 min,235.0,"Australia,New Zealand",Approved,52319,2.721,0.0,Vented,,2015-08-31,,Single product class,Unavailable,,http://www.galanz.com/
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,ELECTROLUX,5,True,Autosensing,Italy,,,Each individual model number listed above,EWW14791W,AS/NZS 2442.1:1996,168,3.80438622129,3.5,Cottons Extra Dry,180.0,"Australia,Fiji,New Zealand",Approved,49724,3.965,41.0,Condenser,,2015-03-11,,Single product class,Unavailable,,http://www.electrolux.com.au
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,BEKO,8,False,Autosensing,Turkey,598.0,846.0,,DCU 8330 GX,AS/NZS 2442.1:1996/Amdt 4:2006,350,2.18017206575,2.0,Cottons-Extra Dry,207.0,"Australia,New Zealand",Approved,62056,6.411,,Condenser,595.0,2016-11-05,,Single product class,Unavailable,http://www.beko.com/,
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,BEKO,7,False,Autosensing,Turkey,530.0,846.0,,DCU 7330 X,AS/NZS 2442.1:1996/Amdt 4:2006,313,2.04602505439,2.0,Cottons-Extra Dry,179.0,"Australia,New Zealand",Approved,62054,5.548,,Condenser,595.0,2016-11-05,,Single product class,Unavailable,http://www.beko.com/,
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,Haier,8,False,Autosensing,China,,,,HD80-01,AS/NZS 2442.1:1996/Amdt 4:2006,358,2.04111237598,2.0,Extra Dry ,216.0,"Australia,New Zealand",Approved,61781,6.347,0.0,Condenser,,2016-11-08,,Single product class,Unavailable,http://www.haier.com/,http://www.haier.com/
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,INDESIT,7.5,False,Autosensing,Italy,,,Each individual model number listed above,IDCA 835 B,AS/NZS 2442.1:1996,325,2.23905413595,2.0,Daily 1 (Ready to Wear) High Heat,185.0,"Australia,New Zealand",Approved,48141,5.923,,Condenser,,2015-01-20,,Single product class,Unavailable,,http://www.indesit.com.au
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,GE,6,False,Autosensing,China,,,Each individual model number listed above,DIVH481CK0WW,AS/NZS 2442.1:1996,265,2.12184812783,2.0,Cottons ,168.0,"Australia,New Zealand",Approved,53147,4.874,,Vented,,2015-09-13,,Single product class,Unavailable,,http://-
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,SAMSUNG ELECTRONICS,4,True,Autosensing,"""Korea, Republic of""",,,Each individual model number listed above,WD8704EJA,AS/NZS 2442.1:1996,153,3.00683301501,3.0,"Drying,Cupboard dry,Intensive wash/ dry, 1200 rpm",247.0,"Australia,New Zealand",Approved,44575,3.173,63.82,Condenser,,2014-08-11,,Single product class,Unavailable,,
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,INDESIT,6,False,Autosensing,United Kingdom,,,Each individual model number listed above,IDV 65,AS/NZS 2442.1:1996,272,1.96142225996,1.5,Automatic B (large load) ,131.0,"Australia,New Zealand",Approved,49693,4.855,,Vented,,2015-07-01,,Single product class,Unavailable,,http://www.indesit.com.au
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,Teco,5,False,Autosensing,China,,,Each individual model number listed above,CD5000A,AS/NZS 2442.1:1996,225,2.00683301501,2.0,"Full heat, extra dry",170.0,"Australia,New Zealand",Approved,48914,3.973,,Vented,,2015-02-10,,Single product class,Unavailable,http://www.teco.com.au/,http://www.teco.com.au/
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,Teco,5,False,Autosensing,China,,,Each individual model number listed above,CD5001A,AS/NZS 2442.1:1996,225,2.00683301501,2.0,"Full heat, extra dry",170.0,"Australia,New Zealand",Approved,48914,3.973,,Vented,,2015-02-10,,Single product class,Unavailable,http://www.teco.com.au/,http://www.teco.com.au/
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,Teco,5,False,Autosensing,China,,,Each individual model number listed above,CD5002A,AS/NZS 2442.1:1996,225,2.00683301501,2.0,"Full heat, extra dry",170.0,"Australia,New Zealand",Approved,48914,3.973,,Vented,,2015-02-10,,Single product class,Unavailable,http://www.teco.com.au/,http://www.teco.com.au/
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,Teco,5,False,Autosensing,China,,,Each individual model number listed above,CD5003A,AS/NZS 2442.1:1996,225,2.00683301501,2.0,"Full heat, extra dry",170.0,"Australia,New Zealand",Approved,48914,3.973,,Vented,,2015-02-10,,Single product class,Unavailable,http://www.teco.com.au/,http://www.teco.com.au/
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,Teco,5,False,Autosensing,China,,,Each individual model number listed above,CD5004A,AS/NZS 2442.1:1996,225,2.00683301501,2.0,"Full heat, extra dry",170.0,"Australia,New Zealand",Approved,48914,3.973,,Vented,,2015-02-10,,Single product class,Unavailable,http://www.teco.com.au/,http://www.teco.com.au/
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,LG,4.5,True,Autosensing,"""Korea, Republic of""",640.0,850.0,,WD14030FD6,AS/NZS 2442.1:1996,220,1.49681452016,1.0,Dry Only; 1400 rpm; Eco dry,268.9,"Australia,New Zealand",Approved,56681,3.608,23.8,Condenser,600.0,2016-04-16,,Single product class,Unavailable,,
