Record ID,Status,Brand Name,Model Number,Selling Countries,Manufacturing Countries,Screen Size,Screen Technology,Comparative Energy Consumption,Active Standby Power,Star Rating Index,Star Rating,Product Website,Representative Brand URL
73754,Approved,SAMSUNG ELECTRONICS,S22C200BW,"Australia,Fiji,New Zealand","""Korea, Republic of""",55.883,LCD (LED),81.0,0.21,4.97044333814,4.5,,http://www.samsung.com.au
73752,Approved,SAMSUNG ELECTRONICS,S22C200B,"Australia,Fiji,New Zealand","""Korea, Republic of""",54.626,LCD (LED),98.0,0.11,3.83673477909,3.5,,http://www.samsung.com.au
73746,Approved,SAMSUNG ELECTRONICS,S24B420BW,"Australia,Fiji,New Zealand","""Korea, Republic of""",61.098,LCD (LED),99.0,0.42,4.62233589209,4.5,,http://www.samsung.com.au
73742,Approved,SAMSUNG ELECTRONICS,S22B420BW,"Australia,Fiji,New Zealand","""Korea, Republic of""",55.883,LCD (LED),81.0,0.32,4.97044333814,4.5,,http://www.samsung.com.au
73294,Approved,SAMSUNG ELECTRONICS,S19C450BR,"Australia,Fiji,New Zealand","""Korea, Republic of""",48.164,LCD (LED),76.0,0.11,4.63716803876,4.5,,http://www.samsung.com.au
73244,Approved,DELL,E2314Hf,"Australia,Fiji,New Zealand",China,58.487,LCD,80.0,0.24,5.14935440781,5.0,http://www.tuv.com/,
73240,Approved,lenovo,LT3053pwA,"Australia,New Zealand",China,75.623,LCD (LED),227.0,0.47,2.33056074298,2.0,,http://www.lenovo.com/
73238,Approved,lenovo,LT2323pwA,"Australia,New Zealand",China,58.487,LCD (LED),88.0,0.37,4.72222945061,4.5,,http://www.lenovo.com/
73236,Approved,lenovo,LT2252pwA,"Australia,Fiji,New Zealand",China,55.868,LCD (LED),76.0,0.25,5.25547645714,5.0,,http://www.lenovo.com/
73235,Approved,lenovo,LT2013pwA,"Australia,New Zealand",China,49.409,LCD (LED),64.0,0.35,5.1665556448,5.0,,http://www.lenovo.com/
73026,Approved,DELL,E1913c,"Australia,Fiji,New Zealand",China,48.141,LCD (LED),53.0,0.3,6.02663253119,6.0,,http://www.dell.com/
79083,Approved,LG,34UM95,"Australia,New Zealand","""Korea, Republic of"",Indonesia,China",86.603,LCD (LED),200.0,0.7,3.03807038279,3.0,http://www.lge.com.au/,http://www.lge.com.au/
77964,Approved,HP,HSTND-3881-A,"Australia,New Zealand",China,58.422,LCD (LED),103.0,0.414,4.00996665134,4.0,,
77964,Approved,HP,S230tm,"Australia,New Zealand",China,58.422,LCD (LED),103.0,0.414,4.00996665134,4.0,,
78971,Approved,LG,22MP55HA,"Australia,New Zealand","China,Indonesia,""Korea, Republic of""",54.625,LCD,90.0,0.21,4.21681071241,4.0,,
78504,Approved,PHILIPS,227E6Q,"Australia,Fiji,New Zealand",China,54.687,LCD (LED),93.0,0.34,4.07649387132,4.0,,
78624,Approved,LG,23MP65HA,"Australia,New Zealand","Indonesia,""Korea, Republic of"",China",58.422,LCD,90.0,0.214,4.61459679684,4.5,,
79266,Approved,LG,27MP75HMB,"Australia,New Zealand","China,Indonesia,""Korea, Republic of""",68.599,LCD,130.0,0.18,3.98774572296,3.5,,
79290,Approved,LG,22MP56HA,"Australia,New Zealand","China,Indonesia,""Korea, Republic of""",54.625,LCD,90.0,0.231,4.21681071241,4.0,,
78665,Approved,LG,27M45HA,"Australia,New Zealand","China,""Korea, Republic of"",Indonesia",68.599,LCD,110.0,0.214,4.73638525871,4.5,,
78666,Approved,LG,27MB65PYG,"Australia,New Zealand","China,""Korea, Republic of"",Indonesia",68.599,LCD,120.0,0.186,4.3464507234,4.0,,
78667,Approved,LG,27MP55HA,"Australia,New Zealand","China,""Korea, Republic of"",Indonesia",68.599,LCD,110.0,0.168,4.73638525871,4.5,,
79400,Approved,PHILIPS,277E6Q,"Australia,Fiji,New Zealand",China,68.599,LCD (LED),103.0,0.35,5.03104480489,5.0,,
78664,Approved,LG,22MB65PYG,"Australia,New Zealand","China,""Korea, Republic of"",Indonesia",55.871,LCD,80.0,0.216,5.02586202525,5.0,,
