Submit_ID,Brand_Reg,Model_No,SoldIn,Country,screensize,Screen_Area,Screen_Tech,Pasv_stnd_power,Act_stnd_power,Act_stnd_time,Avg_mode_power,Star,SRI,CEC,SubmitStatus,ExpDate,GrandDate,Product Class,Availability Status,Star2,Product Website,Representative Brand URL
49200,LOEWE,INDIVIDUAL 40 SELECTION FHD 100 DR+ 67442N39,"Australia,New Zealand",Germany,102.0,4450.0,LCD,1.0,1.0,37.0,192.0,2.0,2.132,730.0,Approved,2016-03-12,,Single product class,Unavailable,0.570332804141,,http://www.loewe-int.de/en/
49197,LOEWE,Loewe INDIVIDUAL 32 SELECTION FHD 100 DR+ 69401B39,"Australia,New Zealand",Germany,81.0,2730.0,LCD,1.0,1.0,38.0,121.0,2.0,2.19,480.0,Approved,2015-03-07,,Single product class,Unavailable,0.627590173392,,http://www.loewe-int.de/en/
49197,LOEWE,Loewe INDIVIDUAL 32 SELECTION FHD 100 DR+ 69401U39,"Australia,New Zealand",Germany,81.0,2730.0,LCD,1.0,1.0,38.0,121.0,2.0,2.19,480.0,Approved,2015-03-07,,Single product class,Unavailable,0.627590173392,,http://www.loewe-int.de/en/
49197,LOEWE,Loewe INDIVIDUAL 32 SELECTION FHD 100 DR+ 69401N39,"Australia,New Zealand",Germany,81.0,2730.0,LCD,1.0,1.0,38.0,121.0,2.0,2.19,480.0,Approved,2015-03-07,,Single product class,Unavailable,0.627590173392,,http://www.loewe-int.de/en/
49194,LOEWE,Loewe INDIVIDUAL 32 SELECTION FHD 100 69401B70,"Australia,New Zealand",Germany,81.0,2730.0,LCD,1.0,1.0,32.0,126.0,2.0,2.19,480.0,Approved,2015-03-07,,Single product class,Unavailable,0.627590173392,,http://www.loewe-int.de/en/
49194,LOEWE,Loewe INDIVIDUAL 32 SELECTION FHD 100 69401U70,"Australia,New Zealand",Germany,81.0,2730.0,LCD,1.0,1.0,32.0,126.0,2.0,2.19,480.0,Approved,2015-03-07,,Single product class,Unavailable,0.627590173392,,http://www.loewe-int.de/en/
49194,LOEWE,Loewe INDIVIDUAL 32 SELECTION FHD 100 69401N70,"Australia,New Zealand",Germany,81.0,2730.0,LCD,1.0,1.0,32.0,126.0,2.0,2.19,480.0,Approved,2015-03-07,,Single product class,Unavailable,0.627590173392,,http://www.loewe-int.de/en/
49193,LOEWE,Loewe CONNECT 42 MEDIA FHD 100 DR+  68436T32,"Australia,New Zealand",Germany,107.0,4982.0,LCD,0.75,1.0,38.0,185.0,2.5,2.729,705.0,Approved,2015-03-07,,Single product class,Unavailable,1.16708663887,,http://www.loewe-int.de/en/
49193,LOEWE,Loewe CONNECT 42 MEDIA FHD 100 DR+  68436U32,"Australia,New Zealand",Germany,107.0,4982.0,LCD,0.75,1.0,38.0,185.0,2.5,2.729,705.0,Approved,2015-03-07,,Single product class,Unavailable,1.16708663887,,http://www.loewe-int.de/en/
49193,LOEWE,Loewe CONNECT 42 MEDIA FHD 100 DR+ 68436W32,"Australia,New Zealand",Germany,107.0,4982.0,LCD,0.75,1.0,38.0,185.0,2.5,2.729,705.0,Approved,2015-03-07,,Single product class,Unavailable,1.16708663887,,http://www.loewe-int.de/en/
